# Rich high-density colored portrait coordinates
# Format: x y r g b   (r,g,b in 0-1 range)
# Total points: 376217
# Sorted top-to-bottom for sequential assembly
# Image: formal suit portrait
#
0.046927 0.931641 0.2235 0.2196 0.2118
0.051068 0.931641 0.2353 0.2314 0.2235
0.055208 0.931641 0.2235 0.2078 0.2039
0.059349 0.931641 0.2078 0.1922 0.1882
0.063490 0.931641 0.2353 0.2118 0.2118
0.067630 0.931641 0.2588 0.2353 0.2353
0.071771 0.931641 0.2667 0.2314 0.2431
0.075911 0.931641 0.2353 0.2000 0.2118
0.080052 0.931641 0.2471 0.2118 0.2235
0.084193 0.931641 0.2353 0.2000 0.2118
0.088333 0.931641 0.2039 0.1686 0.1804
0.092474 0.931641 0.2196 0.1765 0.1922
0.096615 0.931641 0.2196 0.1843 0.1961
0.100755 0.931641 0.2314 0.1961 0.2078
0.104896 0.931641 0.2941 0.2588 0.2706
0.109036 0.931641 0.4353 0.4118 0.4196
0.113177 0.931641 0.6392 0.6235 0.6275
0.117318 0.931641 0.8392 0.8235 0.8275
-0.030365 0.930260 0.8902 0.8824 0.8863
-0.026224 0.930260 0.6000 0.5843 0.5882
-0.022083 0.930260 0.3137 0.2902 0.2980
-0.017943 0.930260 0.2784 0.2549 0.2627
-0.013802 0.930260 0.2000 0.1765 0.1843
-0.009661 0.930260 0.1725 0.1490 0.1569
-0.005521 0.930260 0.1882 0.1647 0.1725
-0.001380 0.930260 0.2039 0.1804 0.1882
0.002760 0.930260 0.2118 0.1882 0.1961
0.006901 0.930260 0.2235 0.2000 0.2078
0.011042 0.930260 0.2431 0.2196 0.2275
0.015182 0.930260 0.2353 0.2196 0.2235
0.019323 0.930260 0.2314 0.2157 0.2196
0.023464 0.930260 0.2471 0.2392 0.2431
0.027604 0.930260 0.2588 0.2431 0.2471
0.031745 0.930260 0.2510 0.2353 0.2392
0.035885 0.930260 0.2510 0.2353 0.2314
0.040026 0.930260 0.2510 0.2353 0.2314
0.044167 0.930260 0.2549 0.2392 0.2353
0.048307 0.930260 0.2510 0.2471 0.2392
0.052448 0.930260 0.2510 0.2471 0.2392
0.056589 0.930260 0.2549 0.2392 0.2353
0.060729 0.930260 0.2157 0.2000 0.1961
0.064870 0.930260 0.2275 0.2039 0.2039
0.069010 0.930260 0.2588 0.2235 0.2353
0.073151 0.930260 0.2667 0.2314 0.2431
0.077292 0.930260 0.2510 0.2157 0.2275
0.081432 0.930260 0.2627 0.2275 0.2392
0.085573 0.930260 0.2627 0.2275 0.2392
0.089714 0.930260 0.2275 0.1922 0.2039
0.093854 0.930260 0.2510 0.2078 0.2235
0.097995 0.930260 0.2431 0.2000 0.2157
0.102135 0.930260 0.2353 0.1922 0.2078
0.106276 0.930260 0.2196 0.1843 0.1961
0.110417 0.930260 0.2902 0.2549 0.2667
0.114557 0.930260 0.4353 0.4196 0.4235
0.118698 0.930260 0.6980 0.6824 0.6863
0.122839 0.930260 0.9294 0.9216 0.9255
-0.031745 0.928880 0.8431 0.8275 0.8314
-0.027604 0.928880 0.4980 0.4824 0.4863
-0.023464 0.928880 0.3137 0.2902 0.2980
-0.019323 0.928880 0.2431 0.2196 0.2275
-0.015182 0.928880 0.2118 0.1882 0.1961
-0.011042 0.928880 0.1961 0.1725 0.1804
-0.006901 0.928880 0.1843 0.1608 0.1686
-0.002760 0.928880 0.2157 0.1922 0.2000
0.001380 0.928880 0.2510 0.2275 0.2353
0.005521 0.928880 0.2392 0.2157 0.2235
0.009661 0.928880 0.2549 0.2314 0.2392
0.013802 0.928880 0.2510 0.2275 0.2353
0.017943 0.928880 0.2471 0.2235 0.2314
0.022083 0.928880 0.2392 0.2235 0.2275
0.026224 0.928880 0.2627 0.2471 0.2510
0.030365 0.928880 0.2588 0.2353 0.2431
0.034505 0.928880 0.2510 0.2353 0.2392
0.038646 0.928880 0.2667 0.2431 0.2431
0.042786 0.928880 0.2706 0.2549 0.2510
0.046927 0.928880 0.2667 0.2510 0.2471
0.051068 0.928880 0.2588 0.2431 0.2392
0.055208 0.928880 0.2627 0.2471 0.2431
0.059349 0.928880 0.2431 0.2275 0.2235
0.063490 0.928880 0.2314 0.2078 0.2078
0.067630 0.928880 0.2314 0.2078 0.2078
0.071771 0.928880 0.2745 0.2392 0.2510
0.075911 0.928880 0.2392 0.2039 0.2157
0.080052 0.928880 0.2235 0.1882 0.2000
0.084193 0.928880 0.2627 0.2275 0.2392
0.088333 0.928880 0.2510 0.2157 0.2275
0.092474 0.928880 0.2510 0.2157 0.2275
0.096615 0.928880 0.2667 0.2314 0.2431
0.100755 0.928880 0.2510 0.2157 0.2275
0.104896 0.928880 0.2157 0.1804 0.1922
0.109036 0.928880 0.1922 0.1686 0.1765
0.113177 0.928880 0.1961 0.1804 0.1843
0.117318 0.928880 0.3490 0.3333 0.3373
0.121458 0.928880 0.6510 0.6353 0.6392
0.125599 0.928880 0.8784 0.8627 0.8667
-0.035885 0.927500 0.8784 0.8549 0.8549
-0.031745 0.927500 0.6078 0.5843 0.5843
-0.027604 0.927500 0.3647 0.3412 0.3412
-0.023464 0.927500 0.2824 0.2471 0.2510
-0.019323 0.927500 0.2353 0.2118 0.2118
-0.015182 0.927500 0.2118 0.1882 0.1882
-0.011042 0.927500 0.1961 0.1804 0.1765
-0.006901 0.927500 0.2118 0.1961 0.2000
-0.002760 0.927500 0.2314 0.2157 0.2196
0.001380 0.927500 0.2353 0.2196 0.2235
0.005521 0.927500 0.2510 0.2353 0.2392
0.009661 0.927500 0.2353 0.2196 0.2235
0.013802 0.927500 0.2549 0.2314 0.2392
0.017943 0.927500 0.2667 0.2314 0.2431
0.022083 0.927500 0.2510 0.2157 0.2275
0.026224 0.927500 0.2588 0.2353 0.2431
0.030365 0.927500 0.2549 0.2196 0.2314
0.034505 0.927500 0.2392 0.2157 0.2235
0.038646 0.927500 0.2471 0.2118 0.2235
0.042786 0.927500 0.2549 0.2314 0.2392
0.046927 0.927500 0.2510 0.2275 0.2353
0.051068 0.927500 0.2392 0.2157 0.2235
0.055208 0.927500 0.2392 0.2157 0.2235
0.059349 0.927500 0.2431 0.2196 0.2275
0.063490 0.927500 0.2235 0.1882 0.2000
0.067630 0.927500 0.2235 0.1882 0.2000
0.071771 0.927500 0.2667 0.2314 0.2431
0.075911 0.927500 0.2314 0.1961 0.2078
0.080052 0.927500 0.2314 0.1961 0.2078
0.084193 0.927500 0.2431 0.2078 0.2196
0.088333 0.927500 0.2431 0.2078 0.2196
0.092474 0.927500 0.2314 0.2078 0.2157
0.096615 0.927500 0.2706 0.2471 0.2549
0.100755 0.927500 0.2706 0.2471 0.2549
0.104896 0.927500 0.2392 0.2157 0.2235
0.109036 0.927500 0.2196 0.2039 0.2078
0.113177 0.927500 0.1725 0.1569 0.1608
0.117318 0.927500 0.2157 0.1922 0.2000
0.121458 0.927500 0.3765 0.3529 0.3529
0.125599 0.927500 0.6902 0.6549 0.6588
0.129740 0.927500 0.9216 0.8980 0.8980
-0.037266 0.926120 0.7804 0.7451 0.7490
-0.033125 0.926120 0.4745 0.4392 0.4431
-0.028984 0.926120 0.3373 0.3020 0.3059
-0.024844 0.926120 0.2824 0.2471 0.2510
-0.020703 0.926120 0.2471 0.2118 0.2157
-0.016563 0.926120 0.2235 0.2000 0.2000
-0.012422 0.926120 0.2196 0.1961 0.1961
-0.008281 0.926120 0.2000 0.1843 0.1882
-0.004141 0.926120 0.2118 0.1961 0.2000
0.000000 0.926120 0.2235 0.2078 0.2118
0.004141 0.926120 0.2353 0.2275 0.2314
0.008281 0.926120 0.2314 0.2157 0.2196
0.012422 0.926120 0.2392 0.2157 0.2235
0.016563 0.926120 0.2667 0.2235 0.2392
0.020703 0.926120 0.2510 0.2078 0.2235
0.024844 0.926120 0.2588 0.2235 0.2353
0.028984 0.926120 0.2471 0.2118 0.2235
0.033125 0.926120 0.2314 0.1961 0.2078
0.037266 0.926120 0.2235 0.1882 0.2000
0.041406 0.926120 0.2314 0.1961 0.2078
0.045547 0.926120 0.2392 0.2039 0.2157
0.049688 0.926120 0.2392 0.2039 0.2157
0.053828 0.926120 0.2157 0.1804 0.1922
0.057969 0.926120 0.2235 0.1882 0.2000
0.062109 0.926120 0.2235 0.1882 0.2000
0.066250 0.926120 0.2196 0.1843 0.1961
0.070391 0.926120 0.2353 0.2000 0.2118
0.074531 0.926120 0.2314 0.1961 0.2078
0.078672 0.926120 0.2157 0.1804 0.1922
0.082813 0.926120 0.2118 0.1765 0.1882
0.086953 0.926120 0.2118 0.1765 0.1882
0.091094 0.926120 0.2039 0.1804 0.1882
0.095234 0.926120 0.2353 0.2196 0.2235
0.099375 0.926120 0.2549 0.2392 0.2431
0.103516 0.926120 0.2549 0.2392 0.2431
0.107656 0.926120 0.2588 0.2431 0.2471
0.111797 0.926120 0.2118 0.1961 0.2000
0.115938 0.926120 0.1922 0.1686 0.1765
0.120078 0.926120 0.2157 0.1804 0.1922
0.124219 0.926120 0.3608 0.3216 0.3255
0.128359 0.926120 0.6471 0.6118 0.6157
0.132500 0.926120 0.9098 0.8745 0.8784
-0.042786 0.924740 0.8784 0.8627 0.8588
-0.038646 0.924740 0.6314 0.5961 0.6000
-0.034505 0.924740 0.3216 0.2863 0.2902
-0.030365 0.924740 0.2745 0.2392 0.2431
-0.026224 0.924740 0.2706 0.2353 0.2392
-0.022083 0.924740 0.2510 0.2157 0.2196
-0.017943 0.924740 0.2275 0.2039 0.2039
-0.013802 0.924740 0.2196 0.1961 0.1961
-0.009661 0.924740 0.2196 0.2039 0.2000
-0.005521 0.924740 0.2039 0.1882 0.1922
-0.001380 0.924740 0.2118 0.1961 0.2000
0.002760 0.924740 0.2275 0.2118 0.2157
0.006901 0.924740 0.2353 0.2196 0.2235
0.011042 0.924740 0.2314 0.2078 0.2157
0.015182 0.924740 0.2471 0.2235 0.2314
0.019323 0.924740 0.2431 0.2078 0.2196
0.023464 0.924740 0.2353 0.2000 0.2118
0.027604 0.924740 0.2275 0.2039 0.2118
0.031745 0.924740 0.2039 0.1804 0.1882
0.035885 0.924740 0.1922 0.1686 0.1765
0.040026 0.924740 0.1804 0.1569 0.1647
0.044167 0.924740 0.2039 0.1804 0.1882
0.048307 0.924740 0.2078 0.1843 0.1922
0.052448 0.924740 0.1922 0.1686 0.1765
0.056589 0.924740 0.1882 0.1647 0.1725
0.060729 0.924740 0.1922 0.1686 0.1765
0.064870 0.924740 0.1961 0.1725 0.1804
0.069010 0.924740 0.1961 0.1608 0.1725
0.073151 0.924740 0.1922 0.1569 0.1686
0.077292 0.924740 0.2000 0.1647 0.1765
0.081432 0.924740 0.2000 0.1647 0.1765
0.085573 0.924740 0.1725 0.1373 0.1490
0.089714 0.924740 0.1843 0.1608 0.1686
0.093854 0.924740 0.1961 0.1804 0.1843
0.097995 0.924740 0.2275 0.2118 0.2157
0.102135 0.924740 0.2431 0.2275 0.2314
0.106276 0.924740 0.2667 0.2510 0.2549
0.110417 0.924740 0.2549 0.2392 0.2431
