# Medium-density face coordinates (every 2nd point)
# Format: x y  (normalized, origin at image center, Y positive upward)
# Total points: 30892
# Sorted top-to-bottom
#
-0.124928 0.956241
-0.109505 0.956241
-0.094082 0.956241
-0.067862 0.956241
-0.052439 0.956241
-0.037016 0.956241
-0.021593 0.956241
-0.006169 0.956241
0.013881 0.956241
0.078659 0.956241
0.104878 0.956241
0.120301 0.956241
0.135725 0.956241
0.151148 0.956241
0.166571 0.956241
0.192791 0.956241
0.215925 0.956241
0.231349 0.956241
-0.259110 0.954699
-0.243687 0.954699
-0.228264 0.954699
-0.212841 0.954699
-0.197417 0.954699
-0.174283 0.954699
-0.158859 0.954699
-0.143436 0.954699
-0.128013 0.954699
-0.112590 0.954699
-0.097166 0.954699
-0.066320 0.954699
-0.050897 0.954699
-0.035473 0.954699
-0.020050 0.954699
-0.004627 0.954699
0.012339 0.954699
0.035473 0.954699
0.057066 0.954699
0.078659 0.954699
0.100251 0.954699
0.115674 0.954699
0.131098 0.954699
0.146521 0.954699
0.161944 0.954699
0.177367 0.954699
0.203587 0.954699
0.226722 0.954699
-0.271449 0.953156
-0.256026 0.953156
-0.240603 0.953156
-0.225179 0.953156
-0.209756 0.953156
-0.194333 0.953156
-0.175825 0.953156
-0.160402 0.953156
-0.144978 0.953156
-0.128013 0.953156
-0.112590 0.953156
-0.083286 0.953156
-0.067862 0.953156
-0.052439 0.953156
-0.037016 0.953156
-0.021593 0.953156
-0.006169 0.953156
0.009254 0.953156
0.030846 0.953156
0.046270 0.953156
0.061693 0.953156
0.080201 0.953156
0.100251 0.953156
0.115674 0.953156
0.131098 0.953156
0.146521 0.953156
0.161944 0.953156
0.177367 0.953156
0.200502 0.953156
0.223637 0.953156
0.239060 0.953156
-0.268364 0.951614
-0.252941 0.951614
-0.237518 0.951614
-0.222095 0.951614
-0.206671 0.951614
-0.191248 0.951614
-0.175825 0.951614
-0.160402 0.951614
-0.140352 0.951614
-0.124928 0.951614
-0.087912 0.951614
-0.072489 0.951614
-0.057066 0.951614
-0.041643 0.951614
-0.026220 0.951614
-0.010796 0.951614
0.004627 0.951614
0.030846 0.951614
0.046270 0.951614
0.067862 0.951614
0.084828 0.951614
0.100251 0.951614
0.115674 0.951614
0.131098 0.951614
0.146521 0.951614
0.161944 0.951614
0.177367 0.951614
0.197417 0.951614
0.212841 0.951614
0.235976 0.951614
-0.277618 0.950072
-0.262195 0.950072
-0.246772 0.950072
-0.226722 0.950072
-0.211298 0.950072
-0.195875 0.950072
-0.180452 0.950072
-0.165029 0.950072
-0.148063 0.950072
-0.132640 0.950072
-0.083286 0.950072
-0.067862 0.950072
-0.052439 0.950072
-0.037016 0.950072
-0.021593 0.950072
-0.006169 0.950072
0.029304 0.950072
0.044727 0.950072
0.066320 0.950072
0.087912 0.950072
0.103336 0.950072
0.118759 0.950072
0.134182 0.950072
0.149605 0.950072
0.180452 0.950072
0.197417 0.950072
0.212841 0.950072
0.234433 0.950072
-0.283788 0.948529
-0.268364 0.948529
-0.252941 0.948529
-0.225179 0.948529
-0.209756 0.948529
-0.194333 0.948529
-0.177367 0.948529
-0.161944 0.948529
-0.146521 0.948529
-0.095624 0.948529
-0.080201 0.948529
-0.064778 0.948529
-0.049354 0.948529
-0.033931 0.948529
-0.018508 0.948529
0.016966 0.948529
0.032389 0.948529
0.058608 0.948529
0.077116 0.948529
0.092539 0.948529
0.107963 0.948529
0.123386 0.948529
0.138809 0.948529
0.154232 0.948529
0.183537 0.948529
0.198960 0.948529
