# High-density portrait coordinates (removes banding)
# Format: x y
# Total points: 168216
# Sorted top-to-bottom
#
-0.681589 1.053263
-0.670360 1.053263
-0.659131 1.053263
-0.647903 1.053263
-0.636674 1.053263
-0.625445 1.053263
-0.614216 1.053263
-0.602987 1.053263
-0.591758 1.053263
-0.580530 1.053263
-0.569301 1.053263
-0.558072 1.053263
-0.546843 1.053263
-0.535614 1.053263
-0.524386 1.053263
-0.513157 1.053263
-0.501928 1.053263
-0.490699 1.053263
-0.479470 1.053263
-0.468242 1.053263
-0.457013 1.053263
-0.445784 1.053263
-0.434555 1.053263
-0.423326 1.053263
-0.412097 1.053263
-0.400869 1.053263
-0.389640 1.053263
-0.378411 1.053263
-0.367182 1.053263
-0.355953 1.053263
-0.344725 1.053263
-0.333496 1.053263
-0.322267 1.053263
-0.311038 1.053263
-0.299809 1.053263
-0.288581 1.053263
-0.277352 1.053263
-0.266123 1.053263
-0.254894 1.053263
-0.243665 1.053263
-0.232436 1.053263
-0.221208 1.053263
-0.209979 1.053263
-0.198750 1.053263
-0.187521 1.053263
-0.176292 1.053263
-0.165064 1.053263
-0.153835 1.053263
-0.142606 1.053263
-0.131377 1.053263
-0.120148 1.053263
-0.108919 1.053263
-0.097691 1.053263
-0.086462 1.053263
-0.075233 1.053263
-0.064004 1.053263
-0.052775 1.053263
-0.041547 1.053263
-0.030318 1.053263
-0.019089 1.053263
-0.007860 1.053263
0.003369 1.053263
0.014597 1.053263
0.025826 1.053263
0.037055 1.053263
0.048284 1.053263
0.059513 1.053263
0.070742 1.053263
0.081970 1.053263
0.093199 1.053263
0.104428 1.053263
0.115657 1.053263
0.126886 1.053263
0.138114 1.053263
0.149343 1.053263
0.160572 1.053263
0.171801 1.053263
0.183030 1.053263
0.194258 1.053263
0.205487 1.053263
0.216716 1.053263
0.227945 1.053263
0.239174 1.053263
0.250403 1.053263
0.261631 1.053263
0.272860 1.053263
0.284089 1.053263
0.295318 1.053263
0.306547 1.053263
0.317775 1.053263
0.329004 1.053263
0.340233 1.053263
0.351462 1.053263
0.362691 1.053263
0.373919 1.053263
0.385148 1.053263
0.396377 1.053263
0.407606 1.053263
0.418835 1.053263
0.430064 1.053263
0.441292 1.053263
0.452521 1.053263
0.463750 1.053263
0.474979 1.053263
0.486208 1.053263
0.497436 1.053263
0.508665 1.053263
0.519894 1.053263
0.531123 1.053263
0.542352 1.053263
0.553581 1.053263
0.564809 1.053263
0.576038 1.053263
0.587267 1.053263
0.598496 1.053263
0.609725 1.053263
0.620953 1.053263
0.632182 1.053263
0.643411 1.053263
0.654640 1.053263
0.665869 1.053263
0.677097 1.053263
0.688326 1.053263
0.699555 1.053263
0.710784 1.053263
0.722013 1.053263
0.733242 1.053263
0.744470 1.053263
0.755699 1.053263
0.766928 1.053263
0.778157 1.053263
0.789386 1.053263
0.800614 1.053263
0.811843 1.053263
0.823072 1.053263
0.834301 1.053263
0.845530 1.053263
0.856758 1.053263
0.867987 1.053263
0.879216 1.053263
0.890445 1.053263
0.901674 1.053263
0.912903 1.053263
0.924131 1.053263
0.935360 1.053263
0.946589 1.053263
0.957818 1.053263
0.969047 1.053263
0.980275 1.053263
0.991504 1.053263
-0.998242 1.051017
-0.987013 1.051017
-0.975784 1.051017
-0.964555 1.051017
-0.953326 1.051017
-0.942097 1.051017
-0.930869 1.051017
-0.919640 1.051017
-0.908411 1.051017
-0.897182 1.051017
-0.885953 1.051017
-0.874725 1.051017
-0.863496 1.051017
-0.852267 1.051017
-0.841038 1.051017
-0.829809 1.051017
