# Ultra-dense + color (420544 points)
# Format: x y r g b
#
-0.488453 1.060000 0.0000 0.0000 0.0000
-0.483962 1.060000 0.0000 0.0000 0.0000
-0.479470 1.060000 0.0000 0.0000 0.0000
-0.474979 1.060000 0.0000 0.0000 0.0000
-0.470487 1.060000 0.0000 0.0000 0.0000
-0.465996 1.060000 0.0000 0.0000 0.0000
-0.461504 1.060000 0.0000 0.0000 0.0000
-0.457013 1.060000 0.0000 0.0000 0.0000
-0.452521 1.060000 0.0000 0.0000 0.0000
-0.448030 1.060000 0.0000 0.0000 0.0000
-0.443538 1.060000 0.0000 0.0000 0.0000
-0.439047 1.060000 0.0000 0.0000 0.0000
-0.434555 1.060000 0.0000 0.0000 0.0000
-0.430064 1.060000 0.0000 0.0000 0.0000
-0.425572 1.060000 0.0000 0.0000 0.0000
-0.421081 1.060000 0.0000 0.0000 0.0000
-0.416589 1.060000 0.0000 0.0000 0.0000
-0.412097 1.060000 0.0000 0.0000 0.0000
-0.407606 1.060000 0.0000 0.0000 0.0000
-0.403114 1.060000 0.0000 0.0000 0.0000
-0.398623 1.060000 0.0000 0.0000 0.0000
-0.394131 1.060000 0.0000 0.0000 0.0000
-0.389640 1.060000 0.0000 0.0000 0.0000
-0.385148 1.060000 0.0000 0.0000 0.0000
-0.380657 1.060000 0.0000 0.0000 0.0000
-0.376165 1.060000 0.0000 0.0000 0.0000
-0.371674 1.060000 0.0000 0.0000 0.0000
-0.367182 1.060000 0.0000 0.0000 0.0000
-0.362691 1.060000 0.0000 0.0000 0.0000
-0.358199 1.060000 0.0000 0.0000 0.0000
-0.353708 1.060000 0.0000 0.0000 0.0000
-0.349216 1.060000 0.0000 0.0000 0.0000
-0.344725 1.060000 0.0000 0.0000 0.0000
-0.340233 1.060000 0.0000 0.0000 0.0000
-0.335742 1.060000 0.0000 0.0000 0.0000
-0.331250 1.060000 0.0000 0.0000 0.0000
-0.326758 1.060000 0.0000 0.0000 0.0000
